"phone","churn","account_length","area_code","custserv_calls","day_calls","day_charge","day_mins","eve_calls","eve_charge","eve_mins","intl_calls","intl_charge","intl_mins","intl_plan","night_calls","night_charge","night_mins","vmail_message","vmail_plan"
"370-7574","yes",121,"408",3,129,33.73,198.4,77,6.4,75.3,3,1.57,5.8,"no",77,8.15,181.2,30,"yes"
"403-9733","no",68,"415",3,70,25.3,148.8,164,20.95,246.5,3,3.27,12.1,"no",103,5.84,129.8,0,"no"
"355-7251","no",125,"408",1,103,38.98,229.3,126,15.08,177.4,8,3.24,12.0,"no",95,8.52,189.3,0,"no"
"359-5893","no",174,"408",1,97,32.66,192.1,94,14.44,169.9,4,3.08,11.4,"no",54,7.5,166.6,0,"no"
"405-3371","no",116,"415",2,83,45.66,268.6,142,15.15,178.2,3,3.13,11.6,"no",106,7.48,166.3,34,"yes"
"344-5117","no",74,"510",2,91,32.93,193.7,96,20.92,246.1,3,3.94,14.6,"no",92,6.21,138.0,33,"yes"
"332-8160","no",149,"408",3,92,30.72,180.7,64,15.96,187.8,3,3.4,12.6,"no",53,11.95,265.5,28,"yes"
"359-4081","no",38,"408",2,98,22.3,131.2,97,13.85,162.9,6,2.21,8.2,"no",106,7.15,159.0,0,"no"
"352-8305","no",40,"415",2,74,25.18,148.1,88,14.41,169.5,5,1.67,6.2,"no",102,9.63,214.1,41,"yes"
"329-9847","no",43,"415",0,105,42.76,251.5,104,18.09,212.8,4,2.51,9.3,"yes",67,7.1,157.8,0,"no"
"365-9011","no",113,"408",0,93,21.28,125.2,119,17.54,206.4,8,2.24,8.3,"yes",139,5.82,129.3,0,"no"
"338-9472","no",126,"408",1,70,35.97,211.6,80,18.44,216.9,1,2.11,7.8,"no",60,6.91,153.5,0,"no"
"374-8042","yes",150,"510",4,101,30.41,178.9,110,14.37,169.1,3,3.73,13.8,"no",100,6.69,148.6,0,"no"
"359-1231","no",138,"408",3,93,41.11,241.8,83,14.49,170.5,7,3.19,11.8,"no",104,13.29,295.3,0,"no"
"413-7170","no",162,"510",0,97,38.23,224.9,84,16.0,188.2,2,3.27,12.1,"no",61,11.46,254.6,46,"yes"
"415-2935","no",147,"510",3,83,42.26,248.6,85,12.66,148.9,4,2.16,8.0,"no",109,7.76,172.5,0,"no"
"399-4246","no",90,"415",1,146,34.58,203.4,117,19.27,226.7,4,1.97,7.3,"no",105,6.86,152.4,0,"no"
"362-5889","no",85,"415",0,109,40.09,235.8,94,13.36,157.2,3,3.24,12.0,"no",99,8.47,188.2,0,"no"
"350-8921","no",50,"415",1,90,26.71,157.1,72,18.98,223.3,2,1.65,6.1,"no",111,8.16,181.4,0,"no"
"374-5353","yes",82,"415",0,109,51.05,300.3,100,15.39,181.0,4,3.16,11.7,"no",73,12.15,270.1,0,"no"
"360-1171","yes",144,"408",4,117,10.47,61.6,85,6.55,77.1,7,2.21,8.2,"no",99,7.79,173.0,0,"no"
"355-8887","no",46,"415",2,72,36.4,214.1,104,13.97,164.4,3,2.21,8.2,"no",113,7.99,177.5,0,"no"
"333-1967","no",70,"408",1,98,28.93,170.2,102,13.19,155.2,2,4.05,15.0,"no",76,10.29,228.6,0,"no"
"354-4577","no",144,"415",1,99,34.19,201.1,74,25.8,303.5,2,3.56,13.2,"no",119,10.08,224.0,0,"no"
"331-7425","no",116,"415",3,104,36.62,215.4,79,17.41,204.8,5,3.4,12.6,"yes",109,12.53,278.5,0,"no"
"419-2637","no",55,"408",3,123,28.15,165.6,95,11.57,136.1,2,2.97,11.0,"no",90,7.91,175.7,25,"yes"
"411-1530","no",70,"415",1,101,42.42,249.5,98,22.07,259.7,4,2.65,9.8,"no",68,10.02,222.7,24,"yes"
"395-3026","yes",106,"510",2,96,35.8,210.6,85,21.18,249.2,1,3.35,12.4,"no",88,8.61,191.4,0,"no"
"388-6441","no",128,"510",0,104,30.48,179.3,86,19.2,225.9,7,2.32,8.6,"no",78,14.54,323.0,29,"yes"
"402-1251","yes",94,"408",4,105,26.84,157.9,101,13.18,155.0,5,2.16,8.0,"no",84,8.53,189.6,0,"no"
"412-9997","no",111,"510",1,118,36.43,214.3,76,17.72,208.5,2,3.24,12.0,"no",98,8.21,182.4,0,"no"
"346-7302","no",74,"415",2,104,26.2,154.1,84,10.49,123.4,9,2.94,10.9,"no",57,9.09,202.1,35,"yes"
"358-9095","yes",128,"415",1,125,40.44,237.9,93,21.05,247.6,4,3.75,13.9,"no",68,9.4,208.9,0,"no"
"400-9770","no",82,"510",1,61,24.46,143.9,105,16.57,194.9,2,3.0,11.1,"no",94,4.93,109.6,0,"no"
"334-1275","yes",155,"415",0,100,34.58,203.4,104,16.23,190.9,4,2.4,8.9,"no",119,8.82,196.0,0,"no"
"340-4953","no",80,"415",1,100,21.13,124.3,107,14.71,173.0,9,2.13,7.9,"no",62,11.39,253.2,0,"no"
"400-9510","no",78,"415",3,93,42.99,252.9,112,15.16,178.4,7,2.57,9.5,"no",105,11.88,263.9,0,"no"
"387-6103","no",90,"415",3,71,30.45,179.1,81,16.2,190.6,7,2.86,10.6,"no",91,5.75,127.7,0,"no"
"366-4467","no",104,"408",1,106,47.33,278.4,113,6.89,81.0,5,2.65,9.8,"no",137,7.34,163.2,0,"no"
"370-3450","no",73,"415",0,110,27.22,160.1,72,18.13,213.3,4,3.51,13.0,"no",72,7.83,174.1,0,"no"
"327-3954","no",99,"415",4,87,33.69,198.2,76,17.62,207.3,3,2.35,8.7,"no",113,8.59,190.9,0,"no"
"355-6291","yes",120,"408",1,131,36.06,212.1,104,17.8,209.4,5,1.43,5.3,"no",96,7.52,167.2,0,"no"
"362-9748","yes",77,"415",2,72,42.81,251.8,126,17.48,205.7,7,2.65,9.8,"no",109,12.38,275.2,0,"no"
"379-6506","no",98,"510",4,114,27.4,161.2,83,21.44,252.2,8,1.19,4.4,"no",92,7.21,160.2,21,"yes"
"347-7741","no",108,"415",0,137,30.31,178.3,76,16.07,189.0,5,3.94,14.6,"no",102,5.81,129.1,0,"no"
"354-3783","no",135,"415",0,82,25.79,151.7,105,10.12,119.0,6,2.84,10.5,"no",100,8.1,180.0,0,"no"
"401-7594","no",95,"408",1,99,22.95,135.0,106,15.61,183.6,9,3.38,12.5,"no",102,11.04,245.3,0,"no"
"397-4976","no",122,"408",1,94,28.99,170.5,109,14.76,173.7,2,3.05,11.3,"no",75,11.19,248.6,0,"no"
"334-2577","no",95,"408",4,65,40.48,238.1,98,15.91,187.2,4,3.19,11.8,"no",115,8.55,190.0,0,"no"
"400-3637","no",36,"510",2,102,47.84,281.4,76,17.19,202.2,6,2.43,9.0,"no",113,8.42,187.2,29,"yes"
"383-4361","no",93,"510",1,131,20.04,117.9,115,13.98,164.5,3,2.65,9.8,"no",86,9.76,217.0,21,"yes"
"371-4306","no",141,"415",1,91,25.26,148.6,97,11.14,131.1,1,2.73,10.1,"no",142,9.87,219.4,32,"yes"
"403-4298","no",157,"408",3,90,39.07,229.8,121,12.57,147.9,7,2.59,9.6,"no",108,10.86,241.4,0,"no"
"409-3786","no",120,"408",1,100,28.05,165.0,83,26.96,317.2,8,2.24,8.3,"no",86,5.36,119.2,0,"no"
"337-4697","no",103,"415",2,117,31.45,185.0,94,18.98,223.3,2,3.4,12.6,"no",91,10.03,222.8,0,"no"
"383-1509","no",98,"408",4,117,27.37,161.0,113,16.23,190.9,4,3.27,12.1,"no",113,10.25,227.7,0,"no"
"359-9794","no",125,"408",1,108,21.54,126.7,90,17.51,206.0,7,3.59,13.3,"no",114,11.15,247.8,0,"no"
"407-7035","no",63,"415",1,125,10.01,58.9,59,14.42,169.6,3,2.54,9.4,"no",88,9.51,211.4,0,"no"
"363-1069","yes",36,"510",0,89,33.46,196.8,122,21.67,254.9,6,5.4,20.0,"yes",126,6.22,138.3,42,"yes"
"391-4652","no",64,"510",1,83,27.64,162.6,109,12.95,152.3,3,3.83,14.2,"no",122,2.59,57.5,0,"no"
"355-6837","yes",74,"415",1,114,48.03,282.5,48,18.69,219.9,4,2.54,9.4,"no",115,7.65,170.0,0,"no"
"409-1244","no",112,"510",2,117,19.33,113.7,82,13.39,157.5,3,2.7,10.0,"no",118,7.99,177.6,36,"yes"
"328-3266","no",97,"408",2,125,40.77,239.8,111,18.26,214.8,5,2.35,8.7,"no",81,6.45,143.3,0,"no"
"352-7072","no",46,"408",1,92,35.73,210.2,77,19.32,227.3,7,3.54,13.1,"no",116,9.0,200.1,0,"no"
"370-7550","no",41,"408",0,102,36.35,213.8,86,12.05,141.8,3,1.94,7.2,"no",123,6.4,142.2,22,"yes"
"369-5526","no",121,"510",3,103,32.42,190.7,117,15.6,183.5,4,2.65,9.8,"no",103,9.94,220.8,0,"no"
"329-4391","no",193,"415",1,124,29.05,170.9,95,11.25,132.3,3,3.13,11.6,"no",89,5.08,112.9,0,"no"
"408-4195","no",130,"510",2,119,26.21,154.2,98,9.37,110.2,5,2.48,9.2,"no",117,10.23,227.4,0,"no"
"354-4445","no",85,"408",1,52,34.24,201.4,104,19.5,229.4,3,3.24,12.0,"no",106,11.36,252.5,0,"no"
"335-4858","yes",162,"415",4,108,12.02,70.7,87,13.39,157.5,3,2.46,9.1,"no",82,6.97,154.8,0,"no"
"414-8718","yes",61,"510",4,124,31.88,187.5,103,12.46,146.6,6,1.73,6.4,"no",129,10.16,225.7,27,"yes"
"409-5939","no",92,"408",2,90,15.59,91.7,123,16.46,193.7,4,2.48,9.2,"no",86,7.88,175.0,0,"no"
"331-4902","no",131,"408",3,115,36.41,214.2,117,13.74,161.7,4,2.57,9.5,"no",102,11.91,264.7,36,"yes"
"353-6870","no",90,"415",3,92,24.74,145.5,114,18.5,217.7,2,2.94,10.9,"no",123,6.61,146.9,0,"no"
"355-2909","no",75,"408",1,125,28.27,166.3,86,13.45,158.2,5,1.65,6.1,"no",80,11.55,256.7,0,"no"
"390-6101","no",78,"415",1,115,39.27,231.0,140,19.58,230.4,3,2.57,9.5,"no",120,11.76,261.4,0,"no"
"400-3446","no",82,"408",4,96,34.05,200.3,102,17.1,201.2,1,1.92,7.1,"no",60,9.27,206.1,0,"no"
"411-5859","no",163,"408",1,109,33.49,197.0,128,17.22,202.6,10,2.46,9.1,"no",80,9.29,206.4,0,"no"
"387-2919","no",91,"510",3,112,22.08,129.9,83,14.73,173.3,3,3.02,11.2,"yes",130,11.12,247.2,0,"no"
"374-8525","no",75,"415",5,97,29.89,175.8,106,18.49,217.5,4,1.43,5.3,"no",134,10.69,237.5,21,"yes"
"379-5592","no",91,"510",3,106,34.53,203.1,113,17.86,210.1,3,3.24,12.0,"no",129,8.8,195.6,0,"no"
"345-8237","no",127,"510",1,117,31.14,183.2,76,10.78,126.8,8,3.02,11.2,"no",71,11.85,263.3,36,"yes"
"422-6690","no",113,"415",2,101,34.85,205.0,60,12.92,152.0,5,2.75,10.2,"no",59,7.14,158.6,23,"yes"
"346-2359","no",110,"510",1,115,25.25,148.5,84,23.49,276.4,3,3.35,12.4,"no",112,8.71,193.6,0,"no"
"374-3534","no",120,"415",0,68,34.05,200.3,97,18.73,220.4,4,2.84,10.5,"no",116,11.42,253.8,39,"yes"
"381-4756","no",157,"415",3,107,32.74,192.6,74,16.62,195.5,5,1.84,6.8,"no",139,4.94,109.7,28,"yes"
"390-2805","no",103,"510",1,47,41.91,246.5,84,16.62,195.5,4,3.16,11.7,"no",96,9.02,200.5,0,"no"
"390-2390","yes",117,"408",2,86,28.41,167.1,87,15.09,177.5,7,3.81,14.1,"yes",132,11.22,249.4,0,"no"
"419-9097","no",140,"415",3,101,39.42,231.9,94,13.61,160.1,6,3.86,14.3,"no",98,4.97,110.4,0,"no"
"386-7281","no",127,"408",1,91,24.94,146.7,78,17.3,203.5,3,3.7,13.7,"no",110,9.15,203.4,0,"no"
"380-3561","no",83,"408",1,87,46.16,271.5,126,18.39,216.3,4,3.16,11.7,"yes",105,5.45,121.1,0,"no"
"390-8760","no",121,"408",1,121,30.86,181.5,98,18.56,218.4,5,2.3,8.5,"no",103,7.27,161.6,0,"no"
"366-6730","no",145,"408",2,97,43.81,257.7,95,13.78,162.1,4,3.0,11.1,"no",86,12.91,286.9,43,"yes"
"395-5285","no",113,"408",1,99,32.95,193.8,125,18.82,221.4,6,2.86,10.6,"no",67,7.75,172.3,0,"no"
"354-3436","no",117,"415",1,119,17.48,102.8,91,17.57,206.7,7,2.73,10.1,"no",105,13.46,299.0,0,"no"
"336-7600","no",65,"408",1,116,31.94,187.9,117,13.4,157.6,6,2.03,7.5,"no",86,10.23,227.3,0,"no"
"383-6293","no",56,"415",1,112,38.42,226.0,118,21.12,248.5,11,1.86,6.9,"no",142,6.32,140.5,0,"no"
"362-4596","no",96,"415",5,115,44.27,260.4,46,12.41,146.0,4,3.11,11.5,"no",87,12.13,269.5,0,"no"
"401-3926","no",151,"408",0,116,30.38,178.7,138,24.83,292.1,4,2.65,9.8,"no",101,11.97,265.9,0,"no"
"370-9116","yes",83,"415",0,120,57.36,337.4,116,19.33,227.4,7,4.27,15.8,"no",114,6.93,153.9,0,"no"
"328-6289","no",139,"510",0,129,26.79,157.6,96,21.0,247.0,2,3.7,13.7,"no",112,11.66,259.2,23,"yes"
"350-9994","no",6,"510",1,117,31.21,183.6,72,21.82,256.7,2,2.75,10.2,"no",79,8.04,178.6,0,"no"
"351-4616","no",115,"510",1,124,24.16,142.1,129,15.59,183.4,4,2.59,9.6,"no",114,7.42,164.8,24,"yes"
"360-5779","no",87,"415",0,97,23.17,136.3,108,14.64,172.2,5,1.92,7.1,"no",101,6.19,137.5,0,"no"
"417-4885","no",141,"415",0,110,36.91,217.1,111,20.53,241.5,6,3.24,12.0,"no",103,11.41,253.5,0,"no"
"406-4710","no",141,"510",3,99,31.88,187.5,116,20.52,241.4,5,2.84,10.5,"no",105,10.33,229.5,36,"yes"
"409-8743","no",62,"415",1,103,16.81,98.9,122,11.51,135.4,1,3.29,12.2,"no",82,10.65,236.6,0,"no"
"335-4584","no",146,"415",1,151,35.07,206.3,89,12.63,148.6,3,1.65,6.1,"no",91,7.52,167.2,0,"no"
"361-9845","no",92,"415",2,92,41.33,243.1,92,18.17,213.8,2,3.27,12.1,"no",104,10.29,228.7,33,"yes"
"366-5699","no",185,"510",1,126,32.27,189.8,133,13.88,163.3,3,2.03,7.5,"no",126,11.92,264.8,31,"yes"
"329-9364","no",148,"415",1,102,34.34,202.0,128,20.67,243.2,3,2.94,10.9,"no",90,11.76,261.3,0,"no"
"390-7434","no",94,"408",1,124,28.92,170.1,116,16.43,193.3,4,3.46,12.8,"no",73,4.77,105.9,38,"yes"
"404-9680","no",32,"510",0,87,39.25,230.9,90,15.93,187.4,2,1.7,6.3,"no",53,6.93,154.0,0,"no"
"338-9398","no",68,"408",1,105,40.31,237.1,105,19.0,223.5,2,3.56,13.2,"no",79,4.38,97.4,0,"no"
"394-2445","no",64,"408",2,91,30.96,182.1,98,14.42,169.7,5,2.86,10.6,"no",86,7.41,164.7,27,"yes"
"381-2709","no",25,"415",3,87,20.28,119.3,101,17.98,211.5,4,2.84,10.5,"no",86,12.1,268.9,0,"no"
"397-5060","no",65,"415",1,87,19.86,116.8,93,15.21,178.9,2,3.81,14.1,"no",150,8.21,182.4,0,"no"
"415-2393","no",179,"408",0,92,37.26,219.2,125,12.7,149.4,5,1.65,6.1,"no",104,11.01,244.7,0,"no"
"377-1765","no",94,"415",2,104,42.94,252.6,125,14.37,169.0,7,3.0,11.1,"no",106,7.69,170.9,0,"no"
"409-2111","no",62,"415",0,91,25.01,147.1,107,16.18,190.4,3,3.29,12.2,"no",115,8.78,195.2,0,"no"
"401-3170","no",127,"415",2,103,34.36,202.1,86,19.5,229.4,3,3.11,11.5,"no",113,8.78,195.2,0,"no"
"405-5681","no",116,"408",3,93,29.5,173.5,76,16.5,194.1,10,4.37,16.2,"no",112,9.36,208.0,0,"no"
"411-4582","no",70,"408",3,122,39.46,232.1,112,24.85,292.3,0,0.0,0.0,"no",112,9.05,201.2,0,"no"
"355-5009","no",94,"510",4,125,33.51,197.1,136,18.23,214.5,5,2.57,9.5,"yes",103,12.7,282.2,23,"yes"
"372-3750","yes",126,"415",5,94,9.89,58.2,118,11.79,138.7,1,3.21,11.9,"no",91,6.16,136.8,0,"no"
"405-2888","no",67,"408",2,111,19.65,115.6,94,20.2,237.7,12,2.67,9.9,"no",103,7.65,169.9,36,"yes"
"361-3337","no",19,"408",2,98,31.64,186.1,57,21.62,254.3,7,3.94,14.6,"no",127,9.63,214.0,0,"no"
"350-1639","no",170,"510",3,68,44.18,259.9,122,20.83,245.0,3,2.27,8.4,"yes",121,6.05,134.4,0,"no"
"333-3221","no",73,"415",1,145,36.43,214.3,135,22.82,268.5,13,2.92,10.8,"no",92,10.85,241.2,0,"no"
"422-1471","no",106,"408",1,74,26.98,158.7,139,5.47,64.3,4,2.75,10.2,"no",103,8.93,198.5,0,"no"
"399-7865","no",93,"415",2,71,46.17,271.6,108,19.5,229.4,3,2.94,10.9,"no",121,3.48,77.3,0,"no"
"373-4819","no",164,"510",1,111,27.3,160.6,126,13.87,163.2,3,2.43,9.0,"no",112,8.42,187.1,0,"no"
"338-6981","no",51,"408",1,109,39.51,232.4,95,15.93,187.4,3,2.46,9.1,"no",107,10.4,231.2,0,"no"
"418-4365","no",107,"415",0,85,22.75,133.8,94,15.34,180.5,4,2.4,8.9,"no",115,5.05,112.2,0,"no"
"359-5461","no",130,"415",1,109,30.07,176.9,104,7.71,90.7,2,2.57,9.5,"no",69,10.71,238.0,0,"no"
"375-3586","no",80,"408",2,74,35.68,209.9,77,16.58,195.1,4,2.38,8.8,"no",119,9.37,208.2,0,"no"
"407-8376","no",94,"415",0,118,23.38,137.5,88,17.27,203.2,2,3.62,13.4,"no",131,6.75,150.0,0,"no"
"408-6496","no",118,"408",1,52,49.22,289.5,111,14.16,166.6,4,2.57,9.5,"no",88,5.36,119.1,23,"yes"
"385-7688","no",117,"415",1,86,33.68,198.1,86,15.05,177.0,6,1.84,6.8,"no",92,8.12,180.5,23,"yes"
"332-6934","no",78,"415",0,119,25.45,149.7,115,15.49,182.2,8,2.62,9.7,"no",126,11.77,261.5,0,"no"
"378-3625","yes",208,"510",2,67,55.51,326.5,113,14.99,176.3,6,2.89,10.7,"no",102,8.18,181.7,0,"no"
"353-7292","yes",131,"510",4,101,49.79,292.9,97,16.97,199.7,7,3.73,13.8,"yes",127,11.49,255.3,26,"yes"
"399-6786","no",63,"408",0,64,14.11,83.0,106,15.05,177.0,3,3.51,13.0,"no",89,11.06,245.7,0,"no"
"358-3261","no",53,"415",3,146,24.77,145.7,136,18.74,220.5,5,3.54,13.1,"no",96,11.25,249.9,24,"yes"
"377-9932","no",62,"408",2,101,30.99,182.3,93,27.9,328.2,1,3.02,11.2,"no",131,11.03,245.0,0,"no"
"397-4030","no",97,"415",3,86,37.06,218.0,94,15.64,184.0,8,1.73,6.4,"no",110,10.82,240.5,0,"no"
"367-1062","no",105,"510",2,109,23.9,140.6,51,15.18,178.6,3,1.84,6.8,"no",83,9.76,217.0,0,"no"
"341-8467","no",157,"415",1,105,25.96,152.7,80,21.89,257.5,4,2.54,9.4,"no",93,8.91,198.1,0,"no"
"339-9453","no",66,"415",1,76,18.14,106.7,77,17.83,209.8,2,3.27,12.1,"no",117,8.57,190.4,36,"yes"
"344-3388","no",122,"415",2,98,41.45,243.8,72,7.13,83.9,8,3.7,13.7,"no",84,8.09,179.8,0,"no"
"375-8013","no",38,"415",3,94,33.05,194.4,95,15.87,186.7,5,2.92,10.8,"no",90,10.05,223.3,0,"no"
"408-4142","no",106,"510",3,95,36.36,213.9,70,12.91,151.9,5,3.29,12.2,"no",124,11.7,260.1,0,"no"
"386-3671","no",99,"510",3,112,36.92,217.2,89,20.97,246.7,7,4.27,15.8,"no",89,10.17,226.1,0,"no"
"411-2284","no",99,"415",1,72,40.99,241.1,98,13.23,155.6,10,3.13,11.6,"no",109,8.47,188.2,0,"no"
"346-7795","no",144,"510",0,100,34.6,203.5,103,21.05,247.6,11,3.21,11.9,"yes",94,8.74,194.3,0,"no"
"333-5609","no",82,"415",1,131,26.38,155.2,106,20.78,244.5,3,2.89,10.7,"no",68,5.51,122.4,24,"yes"
